playlist_name,playlist_description,track_title,artist,vocalist,youtube_video_id,start_time,end_time,category
test,test,雨とカプチーノ,ヨルシカ,早乙女ベリー,_6DnZ8QQehA,0,270,utamita
test,test,Yummy Yummy Yummy,FAKE TYPE,渚トラウト,qSaaaTqOsvU,0,169,utamita
test,test,明日も,SHISHAMO,七瀬すず菜,PKEbUUPNi3I,0,365,utamita
test,test,小さな恋のうた,MONGOL800,酒寄颯馬,Al2hm6tlsII,0,219,utamita
test,test,きゅうくらりん,いよわ feat.可不 ,雲母たまこ,vSr8PqrXRHc,0,216,utamita
test,test,Mr. Showtime,ワンダーランズ×ショウタイム × 巡音ルカ,Speciale,xGxZVVRQ3Qs,0,230,utamita
test,test,くっきんどりーみんらんど,Speciale,Speciale,v5ebL2NFJU0,0,232,original
test,test,シュガーソングとビターステップ,UNISON SQUARE GARDEN,Speciale,u7h7UL9cR_g,0,255,utamita
test,test,にっこり^^調査隊のテーマ,,Speciale,GKCyuUkI7mI,0,207,utamita
test,test,God knows…,,早乙女ベリー,L-Dd4MsA_MM,0,280,utawaku
test,test,ワールドイズマイン,,早乙女ベリー,migRSqMc2eI,0,257,utawaku
test,test,スキスキ絶頂症,,早乙女ベリー,3T4C0m8bN3Y,0,214,utawaku
test,test,Mr. Music,れるりり,"七瀬すず菜,早乙女ベリー,雲母たまこ,酒寄颯馬,渚トラウト",BTFo78i4rJo,56,324,utawaku
test,test,Climax Jump,AAA,"七瀬すず菜,酒寄颯馬,渚トラウト",BTFo78i4rJo,536,775,utawaku
test,test,わたし、魔法使い,＝LOVE,"早乙女ベリー,雲母たまこ",BTFo78i4rJo,902,1110,utawaku
test,test,バニー,すりぃ,七瀬すず菜,BTFo78i4rJo,1241,1428,utawaku
test,test,帰り道,八九寺真宵,雲母たまこ,BTFo78i4rJo,1591,1838,utawaku
